epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.387,1.74827,3.01088,1.0266,0.70706,0.36627,0.42683,0.23255,1.71285,1.97469,0.98428,0.00331155,0.00331155,0.00331155
2,721.693,1.6461,1.66481,1.00542,0.67649,0.47108,0.51195,0.29935,1.67311,1.59297,1.01697,0.0065791,0.0065791,0.0065791
3,1068.98,1.68494,1.29097,1.00969,0.62198,0.50459,0.50969,0.26352,1.92826,2.20859,1.06996,0.00978064,0.00978064,0.00978064
4,1410.65,1.67949,1.06478,1.01498,0.81749,0.56776,0.57554,0.3294,1.73751,1.57027,1.06234,0.009703,0.009703,0.009703
5,1754.89,1.6066,0.93267,1.0011,0.7627,0.5455,0.583,0.34543,1.69705,1.12543,1.0286,0.009604,0.009604,0.009604
6,2100.75,1.57756,0.88344,0.99668,0.85083,0.58586,0.62812,0.37102,1.62692,1.05744,1.01177,0.009505,0.009505,0.009505
7,2443.57,1.53195,0.83576,0.98227,0.8382,0.59763,0.63053,0.3724,1.62294,0.98525,1.00727,0.009406,0.009406,0.009406
8,2791.58,1.52463,0.81314,0.97989,0.83119,0.60632,0.63177,0.37647,1.58844,0.9771,1.00231,0.009307,0.009307,0.009307
9,3138.82,1.47956,0.78273,0.97092,0.84177,0.61909,0.64381,0.3901,1.56842,0.98305,0.99248,0.009208,0.009208,0.009208
10,3484.45,1.45293,0.76889,0.96792,0.83783,0.63543,0.65801,0.40322,1.52404,0.86748,0.98346,0.009109,0.009109,0.009109
11,3828.47,1.45744,0.75884,0.96411,0.85738,0.63664,0.65347,0.40939,1.54374,0.89678,0.98772,0.00901,0.00901,0.00901
12,4175.96,1.44299,0.74972,0.96062,0.88008,0.63978,0.6646,0.41254,1.51682,0.85044,0.9786,0.008911,0.008911,0.008911
13,4518.39,1.41673,0.73835,0.95797,0.85081,0.64896,0.67018,0.41194,1.51598,0.8504,0.97737,0.008812,0.008812,0.008812
14,4857.87,1.40132,0.73041,0.95534,0.8798,0.64516,0.66702,0.41294,1.50493,0.8522,0.98849,0.008713,0.008713,0.008713
15,5196,1.39721,0.71538,0.95101,0.823,0.6111,0.63835,0.3865,1.5283,0.86914,0.98712,0.008614,0.008614,0.008614
16,5539.99,1.38664,0.71675,0.94591,0.87715,0.65215,0.67253,0.41564,1.4968,0.82639,0.97704,0.008515,0.008515,0.008515
17,5882.21,1.39353,0.71426,0.95409,0.89111,0.64626,0.67831,0.41915,1.50443,0.82089,0.98115,0.008416,0.008416,0.008416
18,6222.89,1.36261,0.69353,0.94705,0.88512,0.64217,0.67548,0.42505,1.47361,0.82092,0.96826,0.008317,0.008317,0.008317
19,6566.98,1.37525,0.69969,0.94714,0.88149,0.66147,0.68537,0.42032,1.48124,0.79333,0.96624,0.008218,0.008218,0.008218
20,6905.45,1.35205,0.68576,0.94066,0.88625,0.63898,0.67524,0.41695,1.50329,0.82489,0.98009,0.008119,0.008119,0.008119
21,7245.45,1.34936,0.67585,0.93822,0.87769,0.65138,0.67811,0.42323,1.45107,0.78973,0.96374,0.00802,0.00802,0.00802
22,7585.98,1.3722,0.68396,0.94399,0.86711,0.65229,0.67594,0.42464,1.47707,0.81604,0.96776,0.007921,0.007921,0.007921
23,7924.53,1.33014,0.66887,0.93416,0.89562,0.65808,0.68036,0.42833,1.47505,0.77446,0.97038,0.007822,0.007822,0.007822
24,8263.97,1.32568,0.66537,0.93489,0.87097,0.6529,0.67967,0.42262,1.4853,0.79235,0.97359,0.007723,0.007723,0.007723
25,8605.98,1.33055,0.66674,0.93755,0.87715,0.65586,0.68517,0.4324,1.44976,0.78362,0.95773,0.007624,0.007624,0.007624
26,8944.15,1.30196,0.64771,0.92722,0.88476,0.64859,0.68798,0.43638,1.46367,0.77455,0.96868,0.007525,0.007525,0.007525
27,9283.9,1.29225,0.65,0.93144,0.88006,0.66398,0.68764,0.43159,1.45284,0.76413,0.96954,0.007426,0.007426,0.007426
