epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.657,1.65484,1.58022,0.94964,0.80169,0.50635,0.55182,0.31908,1.56906,0.96237,0.89595,0.00331155,0.00331155,0.00331155
2,294.471,1.59825,0.87614,0.92344,0.75092,0.5002,0.50188,0.27812,1.6684,1.13447,0.95195,0.0065791,0.0065791,0.0065791
3,380.25,1.6844,0.92921,0.94069,0.68808,0.47274,0.40543,0.21067,1.88955,2.09858,1.008,0.00978064,0.00978064,0.00978064
4,464.555,1.72656,0.95425,0.95669,0.77436,0.47697,0.51403,0.28844,1.83823,1.2085,1.00413,0.009703,0.009703,0.009703
5,548.389,1.64539,0.88102,0.94746,0.81213,0.55229,0.56132,0.31386,1.70636,1.08189,0.96853,0.009604,0.009604,0.009604
6,632.578,1.59102,0.83404,0.93837,0.76021,0.53918,0.54709,0.30445,1.67546,1.01828,0.96194,0.009505,0.009505,0.009505
7,716.732,1.53352,0.79114,0.92969,0.75847,0.49797,0.52678,0.30238,1.675,1.10408,0.95381,0.009406,0.009406,0.009406
8,800.801,1.52141,0.77598,0.92486,0.83009,0.5374,0.5782,0.33605,1.64737,0.92781,0.95908,0.009307,0.009307,0.009307
9,884.951,1.48681,0.75725,0.92266,0.83333,0.55872,0.58698,0.35161,1.58131,0.91217,0.94008,0.009208,0.009208,0.009208
10,969.163,1.46255,0.73489,0.91071,0.80814,0.5778,0.58183,0.33201,1.65652,0.90262,0.95487,0.009109,0.009109,0.009109
11,1053.05,1.43289,0.72071,0.90607,0.84726,0.57203,0.60671,0.35566,1.58436,0.83823,0.93838,0.00901,0.00901,0.00901
12,1137.87,1.42105,0.71541,0.90831,0.77938,0.5655,0.58075,0.33753,1.57931,0.89104,0.95143,0.008911,0.008911,0.008911
13,1221.82,1.41415,0.70229,0.90783,0.84496,0.58749,0.61738,0.36842,1.52206,0.79149,0.92968,0.008812,0.008812,0.008812
14,1306.2,1.41813,0.69852,0.90474,0.81357,0.56564,0.5944,0.35913,1.53763,0.85683,0.93154,0.008713,0.008713,0.008713
15,1390.63,1.39388,0.68709,0.90009,0.85611,0.59116,0.62653,0.38198,1.49621,0.75466,0.92627,0.008614,0.008614,0.008614
16,1475.13,1.35041,0.66794,0.8941,0.84648,0.60826,0.61442,0.36995,1.47227,0.75453,0.92433,0.008515,0.008515,0.008515
17,1559.57,1.36563,0.66823,0.89735,0.83207,0.58314,0.6255,0.37409,1.48941,0.76977,0.92836,0.008416,0.008416,0.008416
18,1644.19,1.35522,0.66421,0.89248,0.85553,0.60097,0.64416,0.39417,1.46468,0.76466,0.91453,0.008317,0.008317,0.008317
19,1729.08,1.34126,0.65179,0.89397,0.85595,0.59307,0.61259,0.36637,1.47615,0.7704,0.92212,0.008218,0.008218,0.008218
