epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.042,1.54571,1.63849,0.92387,0.82006,0.5541,0.59795,0.36679,1.49949,0.94672,0.90242,0.00331155,0.00331155,0.00331155
2,478.434,1.56327,0.85862,0.92279,0.58821,0.51356,0.55194,0.30953,1.67813,1.13069,0.96741,0.0065791,0.0065791,0.0065791
3,652.673,1.67192,0.91902,0.94637,0.46347,0.41723,0.40497,0.22072,1.96738,2.49009,1.04412,0.00978064,0.00978064,0.00978064
4,826.648,1.72183,0.94566,0.96755,0.51637,0.4622,0.45211,0.24966,1.85752,1.2929,1.02399,0.009703,0.009703,0.009703
5,1000.26,1.64118,0.87068,0.9648,0.74778,0.48152,0.51576,0.30225,1.71142,1.17241,0.98276,0.009604,0.009604,0.009604
6,1173.68,1.57586,0.8162,0.94893,0.76266,0.50969,0.52356,0.31077,1.70215,1.05454,0.98901,0.009505,0.009505,0.009505
7,1347.41,1.52803,0.77769,0.94175,0.81406,0.52323,0.55176,0.31554,1.67209,1.13754,0.97337,0.009406,0.009406,0.009406
8,1521.14,1.50692,0.76798,0.93397,0.81019,0.50558,0.54141,0.31718,1.6041,0.99987,0.95493,0.009307,0.009307,0.009307
9,1694.84,1.47794,0.7466,0.93182,0.84874,0.56766,0.59607,0.34813,1.61674,0.85224,0.96429,0.009208,0.009208,0.009208
10,1868.43,1.44263,0.71927,0.92219,0.84973,0.58895,0.60032,0.36543,1.53902,0.81132,0.95153,0.009109,0.009109,0.009109
11,2041.61,1.4064,0.70113,0.91489,0.82122,0.55648,0.58339,0.34976,1.61084,0.95341,0.95522,0.00901,0.00901,0.00901
12,2214.84,1.40376,0.70052,0.91568,0.86062,0.59525,0.62852,0.37888,1.497,0.77676,0.94581,0.008911,0.008911,0.008911
13,2388.86,1.3853,0.68359,0.91546,0.84621,0.59958,0.63767,0.37919,1.51001,0.80348,0.94501,0.008812,0.008812,0.008812
14,2562.09,1.39082,0.68041,0.91469,0.85873,0.58205,0.63109,0.38433,1.53291,0.81777,0.9478,0.008713,0.008713,0.008713
15,2736.28,1.3656,0.66416,0.9071,0.84475,0.59651,0.60879,0.37697,1.47902,0.78895,0.93921,0.008614,0.008614,0.008614
16,2909.98,1.32509,0.64858,0.9005,0.8456,0.60211,0.63955,0.38425,1.52192,0.77863,0.94468,0.008515,0.008515,0.008515
17,3084.11,1.33434,0.64771,0.90365,0.86327,0.60705,0.65016,0.40061,1.44224,0.74289,0.93453,0.008416,0.008416,0.008416
18,3257.88,1.33178,0.64437,0.90239,0.84675,0.59936,0.64388,0.39486,1.4673,0.75957,0.92604,0.008317,0.008317,0.008317
19,3431.61,1.31042,0.63062,0.90145,0.879,0.61003,0.65307,0.40226,1.44033,0.73815,0.93483,0.008218,0.008218,0.008218
20,3605.09,1.29365,0.62658,0.8912,0.87082,0.60866,0.64949,0.40701,1.4381,0.74656,0.93263,0.008119,0.008119,0.008119
21,3778.94,1.26526,0.61436,0.89439,0.87905,0.62217,0.64626,0.40328,1.40985,0.71346,0.93,0.00802,0.00802,0.00802
22,3952.29,1.27663,0.61385,0.89391,0.6779,0.61244,0.64921,0.40126,1.42133,0.72218,0.93039,0.007921,0.007921,0.007921
23,4126.23,1.24971,0.6009,0.88948,0.87553,0.61072,0.65044,0.4031,1.4209,0.71095,0.93879,0.007822,0.007822,0.007822
24,4299.88,1.23275,0.59284,0.88654,0.86859,0.62604,0.65338,0.40707,1.4243,0.72395,0.92489,0.007723,0.007723,0.007723
25,4473.34,1.25223,0.60329,0.88949,0.86734,0.62093,0.6662,0.40828,1.40038,0.72082,0.92098,0.007624,0.007624,0.007624
26,4646.84,1.23283,0.59364,0.88826,0.88063,0.61954,0.66134,0.41706,1.37993,0.68302,0.92214,0.007525,0.007525,0.007525
27,4821.37,1.22662,0.59132,0.88,0.8675,0.63167,0.66202,0.41348,1.38361,0.69054,0.9237,0.007426,0.007426,0.007426
28,4995.49,1.22601,0.58575,0.8857,0.87753,0.62696,0.66196,0.41003,1.40207,0.69238,0.92056,0.007327,0.007327,0.007327
29,5169.06,1.20745,0.57983,0.88108,0.87712,0.62387,0.66364,0.41486,1.376,0.68081,0.92319,0.007228,0.007228,0.007228
30,5343.15,1.1843,0.56668,0.87783,0.88947,0.6332,0.67382,0.42782,1.35157,0.65482,0.92613,0.007129,0.007129,0.007129
31,5517.28,1.18913,0.56822,0.87416,0.72971,0.62916,0.65954,0.4163,1.36391,0.67533,0.92272,0.00703,0.00703,0.00703
32,5691.22,1.20154,0.57563,0.87782,0.70559,0.63422,0.66557,0.42152,1.3553,0.65893,0.93106,0.006931,0.006931,0.006931
33,5865.15,1.18898,0.56482,0.88002,0.88036,0.63328,0.66701,0.41765,1.36091,0.66212,0.92593,0.006832,0.006832,0.006832
34,6039.58,1.1885,0.56527,0.87666,0.88288,0.63966,0.66925,0.42295,1.34447,0.65273,0.91933,0.006733,0.006733,0.006733
35,6213.91,1.17338,0.56059,0.8709,0.89151,0.64026,0.67384,0.42508,1.34815,0.64762,0.92184,0.006634,0.006634,0.006634
36,6388.97,1.1765,0.55885,0.87659,0.83021,0.63489,0.66251,0.41376,1.34605,0.66457,0.92411,0.006535,0.006535,0.006535
37,6563.14,1.15525,0.54858,0.87358,0.88656,0.6515,0.67552,0.42737,1.34756,0.63786,0.91809,0.006436,0.006436,0.006436
38,6737.17,1.15123,0.54626,0.86858,0.89119,0.62763,0.67683,0.41963,1.35869,0.64988,0.924,0.006337,0.006337,0.006337
39,6911.14,1.15822,0.5498,0.87275,0.7896,0.64268,0.66934,0.42534,1.33417,0.64486,0.91689,0.006238,0.006238,0.006238
40,7085.68,1.1512,0.5476,0.87158,0.71933,0.63216,0.67276,0.42388,1.32768,0.64267,0.92287,0.006139,0.006139,0.006139
41,7259.56,1.13472,0.53606,0.86891,0.87772,0.63314,0.66835,0.42359,1.33054,0.65556,0.91904,0.00604,0.00604,0.00604
42,7433.51,1.13901,0.54017,0.87257,0.88789,0.64125,0.67328,0.42624,1.33244,0.64311,0.92732,0.005941,0.005941,0.005941
43,7607.32,1.12588,0.53435,0.8673,0.88637,0.63696,0.67526,0.41971,1.35746,0.65215,0.92835,0.005842,0.005842,0.005842
44,7781.93,1.12422,0.52851,0.86661,0.87755,0.63634,0.67545,0.42837,1.33407,0.63433,0.92695,0.005743,0.005743,0.005743
45,7955.82,1.10918,0.52998,0.86509,0.84503,0.64327,0.66936,0.42623,1.31763,0.63797,0.91878,0.005644,0.005644,0.005644
46,8129.8,1.09626,0.52236,0.86064,0.89204,0.63662,0.67327,0.425,1.32931,0.63338,0.92505,0.005545,0.005545,0.005545
47,8303.3,1.11178,0.52361,0.8626,0.7262,0.63884,0.67149,0.42275,1.33225,0.63332,0.92449,0.005446,0.005446,0.005446
48,8476.82,1.10376,0.52315,0.86698,0.7633,0.64544,0.66756,0.42191,1.3385,0.63738,0.92282,0.005347,0.005347,0.005347
49,8650.6,1.08618,0.51698,0.86319,0.88891,0.6363,0.67328,0.4245,1.32721,0.64038,0.9192,0.005248,0.005248,0.005248
50,8824.85,1.08211,0.51242,0.85929,0.67635,0.63371,0.66433,0.4177,1.3338,0.64543,0.92454,0.005149,0.005149,0.005149
51,8998.83,1.08302,0.51322,0.85964,0.87366,0.63381,0.66762,0.41677,1.3425,0.65484,0.92389,0.00505,0.00505,0.00505
52,9173.04,1.079,0.51062,0.85727,0.75314,0.65209,0.6719,0.42216,1.32647,0.64234,0.9227,0.004951,0.004951,0.004951
53,9347.04,1.06757,0.50965,0.85912,0.70938,0.64893,0.6739,0.42321,1.32479,0.63038,0.92326,0.004852,0.004852,0.004852
54,9520.7,1.06661,0.50704,0.85767,0.89465,0.63606,0.67307,0.42251,1.32282,0.63727,0.91746,0.004753,0.004753,0.004753
55,9694.53,1.05998,0.49736,0.85428,0.88081,0.64021,0.67424,0.42473,1.31864,0.63968,0.9185,0.004654,0.004654,0.004654
56,9868.45,1.05782,0.49731,0.84939,0.83422,0.64064,0.67658,0.42452,1.3248,0.64422,0.92309,0.004555,0.004555,0.004555
57,10042.2,1.055,0.50288,0.85718,0.88153,0.64454,0.67783,0.42752,1.32203,0.63316,0.92138,0.004456,0.004456,0.004456
58,10215.9,1.04272,0.49178,0.85327,0.87664,0.64897,0.68141,0.42441,1.32618,0.63184,0.92559,0.004357,0.004357,0.004357
59,10389.6,1.04488,0.49512,0.85099,0.81764,0.64887,0.67932,0.42892,1.31748,0.62648,0.92193,0.004258,0.004258,0.004258
60,10563,1.02837,0.49075,0.84638,0.82845,0.63797,0.67303,0.42587,1.32488,0.63971,0.92399,0.004159,0.004159,0.004159
