epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.273,1.73098,2.90062,1.05575,0.7154,0.46855,0.49037,0.27791,1.70649,1.73645,1.00967,0.00331155,0.00331155,0.00331155
2,699.424,1.64434,1.63872,1.01128,0.79988,0.56487,0.58092,0.34092,1.64268,1.1337,1.00201,0.0065791,0.0065791,0.0065791
3,1034.19,1.67613,1.25336,1.00909,0.60353,0.47932,0.47171,0.27028,1.75999,2.0624,1.0815,0.00978064,0.00978064,0.00978064
4,1372.32,1.65679,1.03266,1.01026,0.76743,0.53939,0.55111,0.30215,1.76311,1.19563,1.04897,0.009703,0.009703,0.009703
5,1705.01,1.59489,0.91468,0.99874,0.77031,0.52104,0.51808,0.30264,1.72007,1.602,1.04062,0.009604,0.009604,0.009604
6,2036.36,1.56348,0.86669,0.99327,0.72909,0.55195,0.54804,0.3207,1.63458,1.14334,1.02064,0.009505,0.009505,0.009505
7,2366.76,1.5167,0.81937,0.98107,0.78046,0.61441,0.62505,0.36956,1.58571,0.98926,0.99488,0.009406,0.009406,0.009406
8,2698.13,1.51484,0.80578,0.97797,0.79295,0.61136,0.61035,0.36816,1.56138,0.97483,0.99186,0.009307,0.009307,0.009307
9,3027.52,1.46698,0.77297,0.96956,0.85188,0.61804,0.67138,0.39867,1.59015,0.94487,0.99094,0.009208,0.009208,0.009208
10,3358.54,1.44316,0.75751,0.96682,0.84231,0.63988,0.66507,0.40985,1.53712,0.8798,0.98202,0.009109,0.009109,0.009109
11,3690.85,1.44615,0.75207,0.9641,0.8798,0.64006,0.67337,0.41413,1.55132,0.88106,0.99391,0.00901,0.00901,0.00901
12,4023.12,1.43163,0.74257,0.95992,0.83016,0.62854,0.65166,0.39826,1.55638,0.88802,0.99611,0.008911,0.008911,0.008911
13,4355.94,1.40533,0.72955,0.95567,0.86423,0.64051,0.67054,0.41255,1.53653,0.84855,0.9856,0.008812,0.008812,0.008812
14,4686.95,1.39047,0.7241,0.9523,0.81389,0.60945,0.63445,0.38833,1.58209,0.93718,0.99051,0.008713,0.008713,0.008713
15,5020.58,1.38649,0.7087,0.95143,0.87835,0.64103,0.68747,0.42514,1.49498,0.83523,0.96904,0.008614,0.008614,0.008614
16,5356.11,1.37709,0.70748,0.94607,0.85883,0.64508,0.68034,0.42543,1.48355,0.83687,0.97272,0.008515,0.008515,0.008515
17,5690.92,1.38017,0.70744,0.9509,0.85279,0.63537,0.6638,0.41036,1.51025,0.82884,0.98706,0.008416,0.008416,0.008416
18,6026,1.35589,0.68812,0.94469,0.86635,0.64084,0.67938,0.42639,1.46752,0.82157,0.95969,0.008317,0.008317,0.008317
19,6360.5,1.35759,0.69075,0.94374,0.88211,0.64842,0.69016,0.42707,1.4848,0.80233,0.96937,0.008218,0.008218,0.008218
20,6693.47,1.33826,0.67606,0.93773,0.89937,0.65673,0.68163,0.42013,1.47502,0.79808,0.97137,0.008119,0.008119,0.008119
21,7025.05,1.33521,0.66832,0.93577,0.87335,0.65387,0.67707,0.41867,1.46388,0.79955,0.96472,0.00802,0.00802,0.00802
22,7354.38,1.35893,0.67617,0.94043,0.86735,0.63173,0.67266,0.42016,1.49055,0.82924,0.97389,0.007921,0.007921,0.007921
23,7684.22,1.32102,0.66308,0.93169,0.88859,0.66927,0.70202,0.44088,1.4564,0.76909,0.96753,0.007822,0.007822,0.007822
24,8014.69,1.31466,0.65731,0.93193,0.8761,0.66265,0.69247,0.43777,1.45363,0.7656,0.9642,0.007723,0.007723,0.007723
25,8347.69,1.32209,0.65832,0.93653,0.88133,0.66306,0.68206,0.42595,1.44993,0.77821,0.95769,0.007624,0.007624,0.007624
26,8679.27,1.29211,0.64344,0.92504,0.87021,0.65973,0.69121,0.43941,1.45919,0.77014,0.96326,0.007525,0.007525,0.007525
27,9011.54,1.27976,0.6417,0.92914,0.89503,0.65291,0.69249,0.4385,1.47566,0.76639,0.96892,0.007426,0.007426,0.007426
28,9343.95,1.28701,0.63804,0.92402,0.87513,0.66235,0.69302,0.43443,1.45386,0.78799,0.96418,0.007327,0.007327,0.007327
29,9671.17,1.27675,0.63098,0.92513,0.86782,0.65978,0.6775,0.43132,1.43715,0.78131,0.95697,0.007228,0.007228,0.007228
30,10000.5,1.25333,0.62288,0.91431,0.87631,0.66347,0.68836,0.44213,1.42822,0.75623,0.95693,0.007129,0.007129,0.007129
31,10328.5,1.26294,0.62651,0.92062,0.88347,0.666,0.69812,0.44212,1.43456,0.75089,0.9635,0.00703,0.00703,0.00703
32,10659.8,1.2754,0.62823,0.92025,0.89077,0.66748,0.70822,0.44111,1.45562,0.74918,0.96543,0.006931,0.006931,0.006931
33,10993.5,1.26042,0.62186,0.91968,0.85478,0.65101,0.67323,0.43117,1.43663,0.76348,0.96483,0.006832,0.006832,0.006832
34,11326.2,1.25474,0.61936,0.92178,0.89312,0.6696,0.70539,0.44926,1.42208,0.73847,0.95643,0.006733,0.006733,0.006733
35,11658.1,1.25254,0.6221,0.92095,0.88138,0.67942,0.70595,0.44246,1.42733,0.74345,0.95459,0.006634,0.006634,0.006634
36,11985.5,1.24171,0.61472,0.91546,0.89253,0.66939,0.69733,0.44204,1.42675,0.73672,0.95783,0.006535,0.006535,0.006535
37,12316.4,1.23769,0.61014,0.91157,0.89151,0.66532,0.70069,0.44612,1.41018,0.72535,0.95783,0.006436,0.006436,0.006436
38,12646,1.23919,0.61305,0.91532,0.88409,0.66726,0.689,0.43524,1.42809,0.73482,0.9612,0.006337,0.006337,0.006337
39,12978.9,1.22849,0.59784,0.91562,0.89529,0.66352,0.69965,0.44712,1.42492,0.72511,0.96253,0.006238,0.006238,0.006238
40,13311.2,1.21159,0.59303,0.91014,0.88336,0.66818,0.70132,0.44621,1.41948,0.7372,0.95425,0.006139,0.006139,0.006139
41,13643.6,1.22189,0.59391,0.91437,0.88984,0.66954,0.69442,0.43988,1.42057,0.72933,0.96018,0.00604,0.00604,0.00604
42,13974.8,1.2262,0.60205,0.91268,0.88768,0.67707,0.70854,0.44842,1.42553,0.71604,0.96158,0.005941,0.005941,0.005941
43,14305.7,1.20911,0.59472,0.9118,0.88334,0.67719,0.69835,0.44441,1.40507,0.72373,0.95323,0.005842,0.005842,0.005842
44,14636.5,1.22531,0.60152,0.91479,0.8963,0.67479,0.7022,0.44549,1.41933,0.72065,0.95649,0.005743,0.005743,0.005743
45,14967,1.20831,0.59096,0.91065,0.89134,0.66692,0.69773,0.44915,1.4103,0.72575,0.94986,0.005644,0.005644,0.005644
46,15301.4,1.19246,0.58511,0.90444,0.8919,0.66095,0.70378,0.44524,1.42414,0.73101,0.95817,0.005545,0.005545,0.005545
